pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
Kepler-186 f,Kepler-186,0,1,5,Transit,2014,Kepler,Kepler Project Candidate (q1_q17_dr25_koi),1,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,129.945392,0.001556,-0.001556,0,0.3855,,,0,1.18,0.11,-0.14,0,,,,,,,,,,,,,,0,,,0,0.23,0.07,-0.06,0,177,,,0,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,3751,75,-84,0,0.44,0.04,-0.05,0,0.45,0.04,-0.05,0,-0.34,0.15,-0.15,0,[Fe/H],4.8,0.07,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h54m36.66s,298.652736,+43d57m17.96s,43.9549884,177.594,0.774,-0.774,15.138,0.08,-0.08,11.605,0.018,-0.018,14.5994,0.000356,-0.000356,2017-05-08 00:00:00,2017-08-31 00:00:00,2017-05-08 00:00:00
Kepler-186 f,Kepler-186,0,1,5,Transit,2014,Kepler,Kepler Project Candidate (q1_q16_koi),1,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,129.94577,0.001737,-0.001737,0,0.3931,,,0,1.06,0.14,-0.14,0,,,,,,,,,,,,,,0,,,0,0.25,0.09,-0.07,0,179,,,0,0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,,3761,77,-50,0,0.46,0.06,-0.06,0,0.48,0.06,-0.06,0,-0.21,0.11,-0.11,0,[Fe/H],4.79,0.08,-0.08,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h54m36.66s,298.652736,+43d57m17.96s,43.9549884,177.594,0.774,-0.774,15.138,0.08,-0.08,11.605,0.018,-0.018,14.5994,0.000356,-0.000356,2014-11-21 00:00:00,2014-12-18 00:00:00,2014-11-21 00:00:00
Kepler-186 f,Kepler-186,0,1,5,Transit,2014,Kepler,Kepler Project Candidate (q1_q17_dr25_sup_koi),1,<a refstr=Q1_Q17_DR25_SUPPLEMENTAL_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 Supplemental KOI Table</a>,129.945392,0.001556,-0.001556,0,,,,0,,,,0,,,,,,,,,,,,,,,,,0,,,,0,,,,0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,3876,157,-157,0,0.55,0.02,-0.02,0,0.54,0.02,-0.02,0,,,,,,4.7,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h54m36.66s,298.652736,+43d57m17.96s,43.9549884,177.594,0.774,-0.774,15.138,0.08,-0.08,11.605,0.018,-0.018,14.5994,0.000356,-0.000356,2018-09-25 00:00:00,2018-08-16 00:00:00,2018-09-25 00:00:00
Kepler-186 f,Kepler-186,0,1,5,Transit,2014,Kepler,Published Confirmed,1,<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>,,,,,,,,,1.438,0.137,-0.251,0,0.128,0.012,-0.022,0,,,,,,,,,,,,,,0.35,0.04,-0.03,0,,,,,0,<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>,,3748,75,-75,0,0.54,0.01,-0.01,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h54m36.66s,298.652736,+43d57m17.96s,43.9549884,177.594,0.774,-0.774,15.138,0.08,-0.08,11.605,0.018,-0.018,14.5994,0.000356,-0.000356,2018-09-04 00:00:00,2018-10,2018-09-06 00:00:00
GJ 1002 c,GJ 1002,1,1,2,Radial Velocity,2022,Multiple Observatories,Published Confirmed,0,<a refstr=SU_AACUTE_REZ_MASCARE_NTILDE_O_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221207332S/abstract target=ref>Su&aacute;rez Mascare&ntilde;o et al. 2022</a>,21.202,0.013,-0.013,0,0.0738,0.0021,-0.0021,0,,,,,,,,,1.36,0.17,-0.17,0,0.00428,0.00053,-0.00053,0,Msini,,,,,0.26,0.01,-0.01,0,182,5,-5,0,0,<a refstr=SU_AACUTE_REZ_MASCARE_NTILDE_O_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221207332S/abstract target=ref>Su&aacute;rez Mascare&ntilde;o et al. 2022</a>,M5.5 V,3024,52,-52,0,0.14,0.01,-0.01,0,0.12,0.01,-0.01,0,-0.25,0.19,-0.19,0,[Fe/H],5.1,0.06,-0.06,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h06m42.35s,1.6764641,-07d32m46.36s,-7.5462123,4.84867,0.00303,-0.00304,,,,7.439,0.021,-0.021,11.7804,0.000751,-0.000751,2022-12-17 00:00:00,2022-12,2022-12-17 00:00:00
Kepler-62 e,Kepler-62,0,1,5,Transit,2013,Kepler,Kepler Project Candidate (q1_q8_koi),0,<a refstr=Q1_Q8_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q8 KOI Table</a>,122.38742,0.00077,-0.00077,0,0.417,,,0,1.54,0.07,-0.07,0,,,,,,,,,,,,,,0,,,0,,,,0,255,,,0,0,<a refstr=Q1_Q8_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q8 KOI Table</a>,,4807,50,-50,0,0.6,0.02,-0.02,0,0.65,0.02,-0.02,0,,,,0,,4.69,0.1,-0.1,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h52m51.01s,283.2125621,+45d20m58.92s,45.3496992,300.874,1.219,-1.219,13.965,0.092,-0.092,11.659,0.021,-0.021,13.7197,0.000208,-0.000208,2013-10-28 00:00:00,2014-01-08 00:00:00,2013-10-28 00:00:00
Kepler-62 e,Kepler-62,1,1,5,Transit,2013,Kepler,Published Confirmed,0,<a refstr=BORUCKI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013Sci...340..587B/abstract target=ref> Borucki et al. 2013 </a>,122.3874,0.0008,-0.0008,0,0.427,0.004,-0.004,0,1.61,0.05,-0.05,0,0.144,0.004,-0.004,0,36,,,1,0.113,,,1,Mass,,,,,,,,,270,15,-15,0,0,<a refstr=BORUCKI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013Sci...340..587B/abstract target=ref> Borucki et al. 2013 </a>,K2 V,4925,70,-70,0,0.64,0.02,-0.02,0,0.69,0.02,-0.02,0,-0.37,0.04,-0.04,0,[Fe/H],4.68,0.04,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h52m51.01s,283.2125621,+45d20m58.92s,45.3496992,300.874,1.219,-1.219,13.965,0.092,-0.092,11.659,0.021,-0.021,13.7197,0.000208,-0.000208,2014-05-14 00:00:00,2013-05,2014-05-14 00:00:00
Kepler-62 e,Kepler-62,0,1,5,Transit,2013,Kepler,Kepler Project Candidate (q1_q12_koi),0,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,122.3863812,0.0004967,-0.0004967,0,0.4152,,,0,1.73,0.08,-0.09,0,,,,,,,,,,,,,,0,,,0,1.17,0.21,-0.21,0,265,,,0,0,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,,4797,93,,0,0.65,0.03,-0.04,0,0.64,0.04,-0.02,0,-0.46,0.14,-0.14,0,[Fe/H],4.61,0.04,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h52m51.01s,283.2125621,+45d20m58.92s,45.3496992,300.874,1.219,-1.219,13.965,0.092,-0.092,11.659,0.021,-0.021,13.7197,0.000208,-0.000208,2014-11-18 00:00:00,2014-12-04 00:00:00,2014-11-18 00:00:00
Kepler-62 e,Kepler-62,0,1,5,Transit,2013,Kepler,Kepler Project Candidate (q1_q17_dr24_koi),0,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,122.3863812,0.0004967,-0.0004967,0,0.4152,,,0,1.73,0.08,-0.09,0,,,,,,,,,,,,,,0,,,0,1.17,0.21,-0.21,0,265,,,0,0,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,,4797,93,,0,0.65,0.03,-0.04,0,0.64,0.04,-0.02,0,-0.46,0.14,-0.14,0,[Fe/H],4.61,0.04,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h52m51.01s,283.2125621,+45d20m58.92s,45.3496992,300.874,1.219,-1.219,13.965,0.092,-0.092,11.659,0.021,-0.021,13.7197,0.000208,-0.000208,2015-08-25 00:00:00,2015-09-24 00:00:00,2015-08-25 00:00:00
Kepler-62 e,Kepler-62,0,1,5,Transit,2013,Kepler,Kepler Project Candidate (q1_q16_koi),0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,122.3863812,0.0004967,-0.0004967,0,0.4152,,,0,1.73,0.08,-0.09,0,,,,,,,,,,,,,,0,,,0,1.17,0.21,-0.21,0,265,,,0,0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,,4797,93,,0,0.65,0.03,-0.04,0,0.64,0.04,-0.02,0,-0.46,0.14,-0.14,0,[Fe/H],4.61,0.04,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h52m51.01s,283.2125621,+45d20m58.92s,45.3496992,300.874,1.219,-1.219,13.965,0.092,-0.092,11.659,0.021,-0.021,13.7197,0.000208,-0.000208,2014-11-21 00:00:00,2014-12-18 00:00:00,2014-11-21 00:00:00
Kepler-62 e,Kepler-62,0,1,5,Transit,2013,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,122.3863812,0.0004967,-0.0004967,0,,,,,1.75,0.08,-0.06,0,0.156,0.007,-0.005,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4967,43.17,-39.95,0,0.67,0.02,-0.02,0,0.72,0.03,-0.03,0,-0.36,0.088,-0.093,0,[Fe/H],4.65,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h52m51.01s,283.2125621,+45d20m58.92s,45.3496992,300.874,1.219,-1.219,13.965,0.092,-0.092,11.659,0.021,-0.021,13.7197,0.000208,-0.000208,2016-05-06 00:00:00,2016-05,2016-05-10 00:00:00
Kepler-62 e,Kepler-62,0,1,5,Transit,2013,Kepler,Published Confirmed,0,<a refstr=BORUCKI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019arXiv190505719B/abstract target=ref>Borucki et al. 2019</a>,,,,,,,,,1.67,0.051,-0.051,0,0.149,0.005,-0.005,0,,,,,,,,,,,,,,1.32,0.1,-0.1,0,,,,,0,<a refstr=BORUCKI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019arXiv190505719B/abstract target=ref>Borucki et al. 2019</a>,,5062,71,-71,0,0.66,0.02,-0.02,0,0.76,0.01,-0.01,0,,,,,,4.68,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h52m51.01s,283.2125621,+45d20m58.92s,45.3496992,300.874,1.219,-1.219,13.965,0.092,-0.092,11.659,0.021,-0.021,13.7197,0.000208,-0.000208,2019-06-24 00:00:00,2019-05,2019-06-27 00:00:00
Kepler-62 e,Kepler-62,0,1,5,Transit,2013,Kepler,Published Confirmed,0,<a refstr=HOLCZER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..225....9H/abstract target=ref>Holczer et al. 2016</a>,122.38718812,4.54e-06,-4.54e-06,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,4842,25,-25,0,0.73,,,0,0.79,,,0,-0.33,0.1,-0.1,0,[M/H],4.61,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h52m51.01s,283.2125621,+45d20m58.92s,45.3496992,300.874,1.219,-1.219,13.965,0.092,-0.092,11.659,0.021,-0.021,13.7197,0.000208,-0.000208,2016-07-26 00:00:00,2016-07,2016-07-28 00:00:00
Kepler-62 e,Kepler-62,0,1,5,Transit,2013,Kepler,Published Confirmed,0,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,122.38664577,0.00044957,-0.00044957,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,4842,25,-25,0,0.73,,,0,0.79,,,0,-0.33,0.1,-0.1,0,[M/H],4.61,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h52m51.01s,283.2125621,+45d20m58.92s,45.3496992,300.874,1.219,-1.219,13.965,0.092,-0.092,11.659,0.021,-0.021,13.7197,0.000208,-0.000208,2019-04-16 00:00:00,2019-03,2019-04-18 00:00:00
Kepler-62 e,Kepler-62,0,1,5,Transit,2013,Kepler,Kepler Project Candidate (q1_q17_dr25_sup_koi),0,<a refstr=Q1_Q17_DR25_SUPPLEMENTAL_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 Supplemental KOI Table</a>,122.3858681,0.0005022,-0.0005022,0,,,,0,,,,0,,,,,,,,,,,,,,,,,0,,,,0,,,,0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,4842,25,-25,0,0.73,,,0,0.79,,,0,-0.33,0.1,-0.1,0,[M/H],4.61,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h52m51.01s,283.2125621,+45d20m58.92s,45.3496992,300.874,1.219,-1.219,13.965,0.092,-0.092,11.659,0.021,-0.021,13.7197,0.000208,-0.000208,2018-09-25 00:00:00,2018-08-16 00:00:00,2018-09-25 00:00:00
Kepler-62 e,Kepler-62,0,1,5,Transit,2013,Kepler,Published Confirmed,0,<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>,,,,,,,,,1.843,0.102,-0.081,0,0.164,0.009,-0.007,0,,,,,,,,,,,,,,1.35,0.03,-0.03,0,,,,,0,<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>,,4859,97,-97,0,0.71,0.03,-0.03,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h52m51.01s,283.2125621,+45d20m58.92s,45.3496992,300.874,1.219,-1.219,13.965,0.092,-0.092,11.659,0.021,-0.021,13.7197,0.000208,-0.000208,2018-09-04 00:00:00,2018-10,2018-09-06 00:00:00
Kepler-62 e,Kepler-62,0,1,5,Transit,2013,Kepler,Kepler Project Candidate (q1_q17_dr25_koi),0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,122.3858681,0.0005022,-0.0005022,0,0.4324,,,0,1.72,0.1,-0.07,0,,,,,,,,,,,,,,0,,,0,1.24,0.27,-0.19,0,269,,,0,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,4926,98,-98,0,0.66,0.04,-0.03,0,0.73,0.03,-0.06,0,-0.36,0.15,-0.15,0,[Fe/H],4.65,0.02,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h52m51.01s,283.2125621,+45d20m58.92s,45.3496992,300.874,1.219,-1.219,13.965,0.092,-0.092,11.659,0.021,-0.021,13.7197,0.000208,-0.000208,2017-05-08 00:00:00,2017-08-31 00:00:00,2017-05-08 00:00:00
Kepler-1652 b,Kepler-1652,0,1,1,Transit,2017,Kepler,Kepler Project Candidate (q1_q17_dr25_koi),0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,38.0970717,0.0003079,-0.0003079,0,0.1667,,,0,1.58,0.2,-0.21,0,,,,,,,,,,,,,,0,,,0,0.81,0.3,-0.25,0,242,,,0,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,3554,71,-80,0,0.4,0.05,-0.05,0,0.43,0.05,-0.08,0,-0.04,0.15,-0.15,0,[Fe/H],4.87,0.06,-0.06,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h37m27.85s,294.3660313,+49d54m54.08s,49.9150219,,,,16.86,1.133,-1.133,12.635,0.024,-0.024,16.0023,0.00464,-0.00464,2017-05-08 00:00:00,2017-08-31 00:00:00,2017-05-08 00:00:00
Kepler-1652 b,Kepler-1652,0,1,1,Transit,2017,Kepler,Kepler Project Candidate (q1_q17_dr24_koi),0,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,38.0972378,0.000286,-0.000286,0,0.1576,,,0,1.12,0.16,-0.35,0,,,,,,,,,,,,,,0,,,0,0.65,0.25,-0.38,0,229,,,0,0,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,,3482,57,-120,0,0.35,0.05,-0.11,0,0.36,0.06,-0.12,0,-0.1,0.1,-0.1,0,[Fe/H],4.91,0.12,-0.08,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h37m27.85s,294.3660313,+49d54m54.08s,49.9150219,,,,16.86,1.133,-1.133,12.635,0.024,-0.024,16.0023,0.00464,-0.00464,2015-08-25 00:00:00,2015-09-24 00:00:00,2015-08-25 00:00:00
Kepler-1652 b,Kepler-1652,0,1,1,Transit,2017,Kepler,Kepler Project Candidate (q1_q12_koi),0,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,38.0972378,0.000286,-0.000286,0,0.1576,,,0,1.12,0.16,-0.35,0,,,,,,,,,,,,,,0,,,0,0.65,0.25,-0.38,0,229,,,0,0,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,,3482,57,-120,0,0.35,0.05,-0.11,0,0.36,0.06,-0.12,0,-0.1,0.1,-0.1,0,[Fe/H],4.91,0.12,-0.08,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h37m27.85s,294.3660313,+49d54m54.08s,49.9150219,,,,16.86,1.133,-1.133,12.635,0.024,-0.024,16.0023,0.00464,-0.00464,2014-11-18 00:00:00,2014-12-04 00:00:00,2014-11-18 00:00:00
Kepler-1652 b,Kepler-1652,0,1,1,Transit,2017,Kepler,Kepler Project Candidate (q1_q17_dr25_sup_koi),0,<a refstr=Q1_Q17_DR25_SUPPLEMENTAL_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 Supplemental KOI Table</a>,38.0970717,0.0003079,-0.0003079,0,,,,0,,,,0,,,,,,,,,,,,,,,,,0,,,,0,,,,0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h37m27.85s,294.3660313,+49d54m54.08s,49.9150219,,,,16.86,1.133,-1.133,12.635,0.024,-0.024,16.0023,0.00464,-0.00464,2018-09-25 00:00:00,2018-08-16 00:00:00,2018-09-25 00:00:00
Kepler-1652 b,Kepler-1652,0,1,1,Transit,2017,Kepler,Kepler Project Candidate (q1_q16_koi),0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,38.0972378,0.000286,-0.000286,0,0.1576,,,0,1.12,0.16,-0.35,0,,,,,,,,,,,,,,0,,,0,0.65,0.25,-0.38,0,229,,,0,0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,,3482,57,-120,0,0.35,0.05,-0.11,0,0.36,0.06,-0.12,0,-0.1,0.1,-0.1,0,[Fe/H],4.91,0.12,-0.08,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h37m27.85s,294.3660313,+49d54m54.08s,49.9150219,,,,16.86,1.133,-1.133,12.635,0.024,-0.024,16.0023,0.00464,-0.00464,2014-11-21 00:00:00,2014-12-18 00:00:00,2014-11-21 00:00:00
Kepler-1652 b,Kepler-1652,0,1,1,Transit,2017,Kepler,Published Confirmed,0,<a refstr=HOLCZER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..225....9H/abstract target=ref>Holczer et al. 2016</a>,38.09665972,7.94e-06,-7.94e-06,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h37m27.85s,294.3660313,+49d54m54.08s,49.9150219,,,,16.86,1.133,-1.133,12.635,0.024,-0.024,16.0023,0.00464,-0.00464,2017-11-14 00:00:00,2016-07,2016-07-28 00:00:00
