pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
K2-72 e,K2-72,1,1,4,Transit,2016,K2,Published Confirmed,0,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..207D/abstract target=ref>Dressing et al. 2017</a>,24.158868,0.003726,-0.00385,0,0.106,0.009,-0.013,0,1.29,0.14,-0.13,0,0.115,0.012,-0.012,0,,,,,,,,,,0.11,0.198676,-0.086832,0,1.2,0.2,-0.2,0,,,,,0,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..207D/abstract target=ref>Dressing et al. 2017</a>,,3360.47,87.24,-86.34,0,0.33,0.03,-0.03,0,0.27,0.08,-0.09,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h18m29.46s,334.6227504,-09d36m43.23s,-9.6120084,66.4321,0.2003,-0.1991,15.37,0.126,-0.126,10.962,0.021,-0.021,14.2789,0.000527,-0.000527,2017-12-12 00:00:00,2017-11,2017-10-26 00:00:00
K2-72 e,K2-72,0,1,4,Transit,2016,K2,Published Confirmed,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,24.1669,0.0057,-0.0057,0,0.098,0.012,-0.012,0,0.82,0.22,-0.22,0,0.073,0.02,-0.02,0,,,,,,,,,,,,,,0.76,0.46,-0.46,0,,,,,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,,3497,150,-150,0,0.23,0.06,-0.06,0,0.22,0.08,-0.08,0,,,,,,5.05,0.07,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h18m29.46s,334.6227504,-09d36m43.23s,-9.6120084,66.4321,0.2003,-0.1991,15.37,0.126,-0.126,10.962,0.021,-0.021,14.2789,0.000527,-0.000527,2017-12-12 00:00:00,2016-09,2016-07-18 00:00:00
GJ 180 c,GJ 180,1,1,3,Radial Velocity,2014,Multiple Observatories,Published Confirmed,0,<a refstr=TUOMI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.441.1545T/abstract target=ref>Tuomi et al. 2014</a>,24.329,0.052,-0.066,0,0.129,0.007,-0.017,0,,,,,,,,,6.4,3.7,-4.1,0,0.02014,0.01164,-0.0129,0,Msini,0.09,0.2,-0.09,0,,,,,,,,,0,<a refstr=TUOMI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.441.1545T/abstract target=ref>Tuomi et al. 2014</a>,M2 V,3371,,,0,,,,,0.43,,,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h53m50.42s,73.460097,-17d46m34.30s,-17.776194,11.9407,0.0045,-0.0045,10.914,0.026,-0.026,6.598,0.021,-0.021,9.93395,0.000396,-0.000396,2019-10-04 00:00:00,2014-06,2019-10-10 00:00:00
GJ 180 d,GJ 180,1,1,3,Radial Velocity,2020,Multiple Facilities,Published Confirmed,0,<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJS..246...11F/abstract target=ref>Feng et al. 2020</a>,106.3,0.129,-0.129,0,0.309,0.01,-0.01,0,,,,,,,,,7.56,1.07,-1.07,0,0.02379,0.00337,-0.00337,0,Msini,0.14,0.04,-0.04,0,,,,,,,,,0,<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJS..246...11F/abstract target=ref>Feng et al. 2020</a>,,,,,,,,,,0.43,,,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h53m50.42s,73.460097,-17d46m34.30s,-17.776194,11.9407,0.0045,-0.0045,10.914,0.026,-0.026,6.598,0.021,-0.021,9.93395,0.000396,-0.000396,2020-02-06 00:00:00,2020-01,2020-02-13 00:00:00
GJ 1061 c,GJ 1061,1,1,3,Radial Velocity,2020,La Silla Observatory,Published Confirmed,0,<a refstr=DREIZLER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..536D/abstract target=ref>Dreizler et al. 2020</a>,6.689,0.005,-0.005,0,0.035,0.001,-0.001,0,,,,,,,,,1.74,0.23,-0.23,0,0.00547,0.00072,-0.00072,0,Msini,0.29,,,1,1.4,0.2,-0.2,0,,,,,0,<a refstr=DREIZLER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..536D/abstract target=ref>Dreizler et al. 2020</a>,M5.5 V,2953,98,-98,0,0.16,0.01,-0.01,0,0.12,0.01,-0.01,0,-0.08,0.08,-0.08,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h36m00.78s,54.0032486,-44d30m51.52s,-44.5143104,3.67278,0.00089,-0.0009,12.7,0.2,-0.2,6.61,0.021,-0.021,10.9889,0.000945,-0.000945,2020-02-21 00:00:00,2020-03,2020-02-27 00:00:00
GJ 1061 d,GJ 1061,1,1,3,Radial Velocity,2020,La Silla Observatory,Published Confirmed,0,<a refstr=DREIZLER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..536D/abstract target=ref>Dreizler et al. 2020</a>,13.031,0.025,-0.032,0,0.054,0.001,-0.001,0,,,,,,,,,1.64,0.24,-0.23,0,0.00516,0.00076,-0.00072,0,Msini,0.53,,,1,0.6,0.1,-0.1,0,,,,,0,<a refstr=DREIZLER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..536D/abstract target=ref>Dreizler et al. 2020</a>,M5.5 V,2953,98,-98,0,0.16,0.01,-0.01,0,0.12,0.01,-0.01,0,-0.08,0.08,-0.08,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h36m00.78s,54.0032486,-44d30m51.52s,-44.5143104,3.67278,0.00089,-0.0009,12.7,0.2,-0.2,6.61,0.021,-0.021,10.9889,0.000945,-0.000945,2020-02-21 00:00:00,2020-03,2020-02-27 00:00:00
Kepler-296 e,Kepler-296,0,2,5,Transit,2014,Kepler,Published Confirmed,0,<a refstr=HOLCZER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..225....9H/abstract target=ref>Holczer et al. 2016</a>,34.14176909,1.136e-05,-1.136e-05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h06m09.61s,286.5400278,+49d26m14.14s,49.4372614,,,,16.363,1.133,-1.133,12.6,0.028,-0.028,15.9015,0.003522,-0.003522,2016-07-26 00:00:00,2016-07,2016-07-28 00:00:00
Kepler-296 e,Kepler-296,0,2,5,Transit,2014,Kepler,Kepler Project Candidate (q1_q17_dr25_koi),0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,34.1420506,0.0002289,-0.0002289,0,0.151,,,0,1.06,0.13,-0.16,0,,,,,,,,,,,,,,0,,,0,0.89,0.33,-0.3,0,248,,,0,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,3526,71,-78,0,0.38,0.05,-0.06,0,0.39,0.06,-0.07,0,-0.08,0.15,-0.15,0,[Fe/H],4.87,0.07,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h06m09.61s,286.5400278,+49d26m14.14s,49.4372614,,,,16.363,1.133,-1.133,12.6,0.028,-0.028,15.9015,0.003522,-0.003522,2017-05-08 00:00:00,2017-08-31 00:00:00,2017-05-08 00:00:00
Kepler-296 e,Kepler-296,0,2,5,Transit,2014,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,34.14189,0.0002635,-0.0002635,0,,,,,1.09,0.12,-0.15,0,0.097,0.011,-0.013,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,3558,40.28,-37.83,0,0.37,0.04,-0.04,0,0.38,0.05,-0.05,0,-0.23,0.09,-0.093,0,[Fe/H],4.89,0.04,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h06m09.61s,286.5400278,+49d26m14.14s,49.4372614,,,,16.363,1.133,-1.133,12.6,0.028,-0.028,15.9015,0.003522,-0.003522,2016-05-06 00:00:00,2016-05,2016-05-10 00:00:00
Kepler-296 e,Kepler-296,0,2,5,Transit,2014,Kepler,Published Confirmed,0,<a refstr=CARTIER_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...804...97C/abstract target=ref>Cartier et al. 2015</a>,,,,,0.176,,,0,1.86,0.17,-0.17,0,0.166,0.015,-0.015,0,,,,,,,,,,,,,,,,,,337,18,-18,0,0,<a refstr=CARTIER_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...804...97C/abstract target=ref>Cartier et al. 2015</a>,,3821,160,-160,0,0.59,0.07,-0.07,0,0.63,0.08,-0.08,0,0.3,,,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h06m09.61s,286.5400278,+49d26m14.14s,49.4372614,,,,16.363,1.133,-1.133,12.6,0.028,-0.028,15.9015,0.003522,-0.003522,2016-02-10 00:00:00,2015-05,2016-02-11 00:00:00
